scheme,phase,mean_us,median_us,p95_us,sd_us,wire_2901,wire_6901,wire_2903,wire_6903,cert_bytes,public_key_bytes,sig_min_bytes,sig_max_bytes
CL-ECS-SM2,2901_credential,149.684844,139.041000,177.250000,315.121534,84,34,67,3,0,66,65,65
CL-ECS-SM2,6901_challenge,0.464971,0.333000,1.166000,1.658010,84,34,67,3,0,66,65,65
CL-ECS-SM2,2903_sign,132.256287,122.792000,156.625000,249.669020,84,34,67,3,0,66,65,65
CL-ECS-SM2,6903_verify,279.042757,256.291000,332.125000,553.387015,84,34,67,3,0,66,65,65
CL-ECS-SM2,total,561.448859,519.833000,671.917000,793.806858,84,34,67,3,0,66,65,65
RSA-2048-PSS+X509,2901_credential,29.207464,23.417000,35.125000,287.436488,760,34,258,3,742,256,256,256
RSA-2048-PSS+X509,6901_challenge,0.509853,0.416000,1.041000,0.748409,760,34,258,3,742,256,256,256
RSA-2048-PSS+X509,2903_sign,378.105415,338.833000,498.167000,1108.992247,760,34,258,3,742,256,256,256
RSA-2048-PSS+X509,6903_verify,17.430508,16.166000,22.208000,7.092672,760,34,258,3,742,256,256,256
RSA-2048-PSS+X509,total,425.253240,379.875000,546.457000,1147.620164,760,34,258,3,742,256,256,256
ECDSA-P256+X509,2901_credential,55.697527,51.292000,70.583000,53.031718,365,34,74,3,347,33,69,72
ECDSA-P256+X509,6901_challenge,0.617907,0.458000,1.208000,1.383443,365,34,74,3,347,33,69,72
ECDSA-P256+X509,2903_sign,17.781686,12.958000,17.167000,402.656639,365,34,74,3,347,33,69,72
ECDSA-P256+X509,6903_verify,36.385769,34.833000,44.500000,9.300616,365,34,74,3,347,33,69,72
ECDSA-P256+X509,total,110.482889,99.791000,132.958000,407.478991,365,34,74,3,347,33,69,72
SM2-SM3+X509,2901_credential,164.902657,154.583000,200.125000,236.506093,362,34,74,3,344,33,69,72
SM2-SM3+X509,6901_challenge,0.434304,0.333000,0.959000,0.982144,362,34,74,3,344,33,69,72
SM2-SM3+X509,2903_sign,140.601414,131.917000,168.042000,244.903448,362,34,74,3,344,33,69,72
SM2-SM3+X509,6903_verify,150.519717,136.416000,174.166000,441.169971,362,34,74,3,344,33,69,72
SM2-SM3+X509,total,456.458092,424.250000,554.417000,566.121158,362,34,74,3,344,33,69,72
