scheme,phase,mean_us,median_us,p95_us,sd_us,wire_2901,wire_6901,wire_2903,wire_6903,cert_bytes,public_key_bytes,sig_min_bytes,sig_max_bytes
CL-ECS-SM2,2901_credential,151.318510,138.334000,162.875000,449.054000,84,34,67,3,0,66,65,65
CL-ECS-SM2,6901_challenge,0.437842,0.333000,1.125000,0.877959,84,34,67,3,0,66,65,65
CL-ECS-SM2,2903_sign,127.925957,122.292000,145.208000,79.914226,84,34,67,3,0,66,65,65
CL-ECS-SM2,6903_verify,268.031060,256.375000,302.750000,300.097389,84,34,67,3,0,66,65,65
CL-ECS-SM2,total,547.713370,518.626000,617.043000,551.207073,84,34,67,3,0,66,65,65
RSA-2048-PSS+X509,2901_credential,27.606920,23.084000,32.500000,223.717824,760,34,258,3,742,256,256,256
RSA-2048-PSS+X509,6901_challenge,0.472827,0.375000,1.042000,0.678731,760,34,258,3,742,256,256,256
RSA-2048-PSS+X509,2903_sign,374.917758,340.417000,457.625000,750.103500,760,34,258,3,742,256,256,256
RSA-2048-PSS+X509,6903_verify,17.175279,16.125000,20.917000,5.431218,760,34,258,3,742,256,256,256
RSA-2048-PSS+X509,total,420.172785,380.582000,521.167000,783.906271,760,34,258,3,742,256,256,256
ECDSA-P256+X509,2901_credential,54.321964,50.750000,66.458000,18.553506,365,34,74,3,347,33,68,72
ECDSA-P256+X509,6901_challenge,0.555140,0.417000,1.167000,0.657064,365,34,74,3,347,33,68,72
ECDSA-P256+X509,2903_sign,13.631978,12.875000,16.708000,4.450803,365,34,74,3,347,33,68,72
ECDSA-P256+X509,6903_verify,37.214973,34.750000,42.167000,106.455004,365,34,74,3,347,33,68,72
ECDSA-P256+X509,total,105.724053,99.209000,124.876000,109.371844,365,34,74,3,347,33,68,72
SM2-SM3+X509,2901_credential,174.610590,156.958000,187.792000,807.574117,364,34,74,3,346,33,69,72
SM2-SM3+X509,6901_challenge,0.406043,0.333000,1.000000,0.538434,364,34,74,3,346,33,69,72
SM2-SM3+X509,2903_sign,139.026717,130.750000,154.750000,286.747971,364,34,74,3,346,33,69,72
SM2-SM3+X509,6903_verify,143.131078,136.584000,161.541000,169.286628,364,34,74,3,346,33,69,72
SM2-SM3+X509,total,457.174427,425.750000,509.499000,1008.435424,364,34,74,3,346,33,69,72
