scheme,phase,mean_us,median_us,p95_us,sd_us,wire_2901,wire_6901,wire_2903,wire_6903,cert_bytes,public_key_bytes,sig_min_bytes,sig_max_bytes
CL-ECS-SM2,2901_credential,445.168392,428.607000,531.570000,62.754901,51,34,66,3,0,33,64,64
CL-ECS-SM2,6901_challenge,1.255613,0.918000,3.236000,1.128044,51,34,66,3,0,33,64,64
CL-ECS-SM2,2903_sign,449.801838,433.179000,538.878000,66.126263,51,34,66,3,0,33,64,64
CL-ECS-SM2,6903_verify,421.931006,405.937000,508.430000,59.573381,51,34,66,3,0,33,64,64
CL-ECS-SM2,total,1318.156849,1269.395000,1498.559000,172.911596,51,34,66,3,0,33,64,64
RSA-2048-PSS+X509,2901_credential,88.588486,82.760000,125.592000,21.393601,760,34,258,3,742,256,256,256
RSA-2048-PSS+X509,6901_challenge,2.097649,1.696000,4.220000,2.273154,760,34,258,3,742,256,256,256
RSA-2048-PSS+X509,2903_sign,660.715212,623.296000,1008.919000,116.774520,760,34,258,3,742,256,256,256
RSA-2048-PSS+X509,6903_verify,39.745978,36.741000,55.401000,8.482503,760,34,258,3,742,256,256,256
RSA-2048-PSS+X509,total,791.147325,748.708000,1134.083000,134.792712,760,34,258,3,742,256,256,256
ECDSA-P256+X509,2901_credential,154.688908,146.740000,205.110000,28.327227,365,34,74,3,347,33,68,72
ECDSA-P256+X509,6901_challenge,2.622370,2.130000,5.144000,1.526911,365,34,74,3,347,33,68,72
ECDSA-P256+X509,2903_sign,32.913928,30.535000,48.335000,7.742581,365,34,74,3,347,33,68,72
ECDSA-P256+X509,6903_verify,77.149227,72.561000,99.155000,12.225960,365,34,74,3,347,33,68,72
ECDSA-P256+X509,total,267.374433,255.777000,343.218000,42.580506,365,34,74,3,347,33,68,72
SM2-SM3+X509,2901_credential,473.880837,454.779000,579.374000,68.204488,363,34,74,3,345,33,69,72
SM2-SM3+X509,6901_challenge,1.448554,1.092000,3.437000,1.647055,363,34,74,3,345,33,69,72
SM2-SM3+X509,2903_sign,445.162327,429.570000,536.640000,64.427886,363,34,74,3,345,33,69,72
SM2-SM3+X509,6903_verify,396.911762,382.228000,479.141000,56.945623,363,34,74,3,345,33,69,72
SM2-SM3+X509,total,1317.403479,1267.245000,1516.419000,174.928601,363,34,74,3,345,33,69,72
