scheme,phase,mean_us,median_us,p95_us,sd_us,wire_2901,wire_6901,wire_2903,wire_6903,cert_bytes,public_key_bytes,sig_min_bytes,sig_max_bytes
CL-ECS-SM2,2901_credential,132.310000,130.000000,135.000000,28.822102,51,34,66,3,0,33,64,64
CL-ECS-SM2,6901_challenge,0.205500,0.000000,1.000000,0.587285,51,34,66,3,0,33,64,64
CL-ECS-SM2,2903_sign,133.702800,131.000000,137.000000,26.181853,51,34,66,3,0,33,64,64
CL-ECS-SM2,6903_verify,140.064900,137.000000,143.000000,26.014334,51,34,66,3,0,33,64,64
CL-ECS-SM2,total,406.283200,399.000000,415.000000,68.677547,51,34,66,3,0,33,64,64
RSA-2048-PSS+X509,2901_credential,24.511800,23.000000,26.000000,10.523704,760,34,258,3,742,256,256,256
RSA-2048-PSS+X509,6901_challenge,0.224700,0.000000,1.000000,0.632495,760,34,258,3,742,256,256,256
RSA-2048-PSS+X509,2903_sign,327.715500,318.000000,375.000000,64.445336,760,34,258,3,742,256,256,256
RSA-2048-PSS+X509,6903_verify,16.603700,16.000000,17.000000,6.132537,760,34,258,3,742,256,256,256
RSA-2048-PSS+X509,total,369.055700,359.000000,429.000000,73.014654,760,34,258,3,742,256,256,256
ECDSA-P256+X509,2901_credential,52.032400,50.000000,55.000000,15.451214,365,34,74,3,347,33,69,72
ECDSA-P256+X509,6901_challenge,0.238500,0.000000,1.000000,0.545937,365,34,74,3,347,33,69,72
ECDSA-P256+X509,2903_sign,13.559900,13.000000,14.000000,4.156987,365,34,74,3,347,33,69,72
ECDSA-P256+X509,6903_verify,35.516500,35.000000,36.000000,7.848521,365,34,74,3,347,33,69,72
ECDSA-P256+X509,total,101.347300,99.000000,105.000000,24.354104,365,34,74,3,347,33,69,72
SM2-SM3+X509,2901_credential,150.181700,147.000000,154.000000,25.588946,364,34,74,3,346,33,69,72
SM2-SM3+X509,6901_challenge,0.212100,0.000000,1.000000,0.581160,364,34,74,3,346,33,69,72
SM2-SM3+X509,2903_sign,131.214200,129.000000,134.000000,26.804708,364,34,74,3,346,33,69,72
SM2-SM3+X509,6903_verify,131.945400,129.000000,135.000000,21.432120,364,34,74,3,346,33,69,72
SM2-SM3+X509,total,413.553400,406.000000,423.000000,63.711861,364,34,74,3,346,33,69,72
